Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Laterite Soil,21.77,490.7,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Alluvial Soil,5.54,384.1,Rabi,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,3.24,52.1,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Black Soil,7.11,1107.5,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,High
Black Soil,1.9,1451.9,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,13.51,375.2,Rabi,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Low
Laterite Soil,23.45,1011.4,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Black Soil,1.46,1125.7,Zaid,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,3.49,1280.2,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Laterite Soil,11.58,662.8,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Laterite Soil,23.38,489.2,Rabi,Breeder Seeds,Machine,Well Irrigation,Organic Fertilizers,Low
Alluvial Soil,8.25,521.7,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Black Soil,12.93,1083.3,Rabi,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Alluvial Soil,1.52,1234.3,Kharif,Hybrid Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,4.13,313.3,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,24.67,587.9,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,24.15,1357.8,Rabi,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,0.62,1219.7,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,23.82,1478.0,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,16.16,1143.7,Rabi,Breeder Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,21.76,620.1,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,11.64,906.4,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,13.13,1008.5,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,12.48,163.8,Rabi,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Alluvial Soil,16.84,839.5,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,3.92,1078.5,Zaid,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,1.23,292.6,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Alluvial Soil,8.04,1181.9,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Laterite Soil,17.76,896.5,Kharif,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Very High
Laterite Soil,5.45,1430.7,Zaid,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,17.0,111.5,Kharif,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,24.26,434.7,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,2.8,922.3,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,16.98,480.0,Zaid,Breeder Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,11.37,1085.9,Zaid,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Black Soil,21.77,1150.6,Rabi,Breeder Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Black Soil,4.84,198.6,Zaid,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,17.47,795.1,Zaid,Hybrid Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,21.03,787.9,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Low
Saline and Alkaline Soil,23.64,585.5,Kharif,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Alluvial Soil,17.24,1402.7,Kharif,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,12.68,1249.9,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,15.64,1061.0,Kharif,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Very High
Laterite Soil,21.79,1085.8,Rabi,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,14.48,719.5,Kharif,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,1.24,1385.4,Zaid,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,23.31,1057.2,Kharif,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,17.39,1107.0,Rabi,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,17.07,1299.5,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,5.78,447.4,Zaid,Breeder Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Laterite Soil,16.64,1220.3,Rabi,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,10.15,333.1,Zaid,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,16.46,550.7,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,3.11,536.6,Rabi,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,16.62,1468.9,Zaid,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,24.99,1292.0,Zaid,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,1.68,1066.7,Kharif,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Black Soil,24.44,1104.2,Zaid,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,10.47,865.0,Zaid,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,21.83,1423.3,Zaid,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Laterite Soil,19.67,769.6,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,14.39,601.8,Rabi,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,18.59,286.4,Kharif,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Laterite Soil,22.02,1190.0,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,10.4,1114.9,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,8.51,607.3,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,16.86,86.5,Zaid,Hybrid Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,20.29,1266.5,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,19.18,66.6,Kharif,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Alluvial Soil,20.05,1070.4,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Very High
Laterite Soil,11.17,1456.9,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Laterite Soil,20.54,684.6,Zaid,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,3.45,390.7,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,13.84,1072.1,Rabi,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,0.64,1234.8,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Laterite Soil,8.45,842.3,Zaid,Hybrid Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,9.48,1452.2,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,10.21,124.9,Zaid,Hybrid Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,17.54,782.0,Kharif,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Alluvial Soil,10.02,1091.8,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,11.49,1300.8,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,6.32,309.9,Zaid,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,9.64,1210.0,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,6.07,851.4,Rabi,Hybrid Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,2.29,625.0,Kharif,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,15.28,241.0,Kharif,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,16.87,1304.7,Kharif,Breeder Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,15.68,278.0,Zaid,Breeder Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,11.86,499.2,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Black Soil,9.8,470.6,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,21.65,1313.6,Rabi,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Black Soil,13.22,1025.4,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Black Soil,12.24,1205.2,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,1.13,413.2,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Black Soil,8.86,956.1,Kharif,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,9.81,879.0,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,10.27,1257.6,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Black Soil,14.71,1363.8,Rabi,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Black Soil,13.57,67.6,Zaid,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,15.39,1027.3,Rabi,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,19.24,125.2,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,20.42,845.8,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,18.09,467.1,Rabi,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,23.91,494.8,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,0.95,561.8,Kharif,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,5.3,950.9,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Black Soil,0.69,534.4,Rabi,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Red and Yellow Soil,16.36,1112.4,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Medium
Black Soil,22.5,636.6,Kharif,Foundation Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,6.47,149.1,Kharif,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,23.21,1186.5,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,1.98,464.3,Zaid,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Black Soil,23.39,677.5,Rabi,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,Medium
Alluvial Soil,9.11,1043.9,Zaid,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,2.98,532.1,Kharif,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,12.4,132.0,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Laterite Soil,6.79,592.2,Kharif,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,7.48,1419.5,Rabi,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Laterite Soil,8.03,980.5,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,20.17,1023.6,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,13.71,966.8,Zaid,Foundation Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Black Soil,8.13,338.5,Rabi,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Organic Fertilizers,Medium
Black Soil,15.45,656.6,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,18.05,1138.9,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Alluvial Soil,7.18,197.0,Zaid,Hybrid Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Black Soil,10.63,452.9,Kharif,Open-Pollinated Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,3.49,450.7,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,4.94,676.4,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,17.19,1471.5,Zaid,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,4.95,147.9,Kharif,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Laterite Soil,13.37,802.1,Kharif,Foundation Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Black Soil,17.87,310.1,Rabi,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,3.12,1457.5,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,14.4,214.3,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,6.79,635.2,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,24.09,1119.9,Rabi,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,12.35,1071.6,Rabi,Breeder Seeds,Manual,Drip Irrigation,Organic Fertilizers,High
Laterite Soil,20.25,663.0,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,13.98,552.5,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,1.56,626.5,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,16.01,433.2,Kharif,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Laterite Soil,23.81,347.7,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,15.24,750.4,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,20.57,439.4,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,22.16,466.8,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Laterite Soil,6.09,1002.3,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,5.7,1454.4,Rabi,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Black Soil,15.47,925.3,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,10.57,161.6,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Black Soil,21.08,159.6,Zaid,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,22.55,1429.6,Kharif,Breeder Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,9.16,481.1,Rabi,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,6.3,183.5,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Organic Fertilizers,Medium
Laterite Soil,19.62,918.6,Zaid,Open-Pollinated Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Black Soil,7.23,954.3,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Black Soil,20.65,990.3,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,10.88,437.7,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,16.85,71.9,Zaid,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,2.84,1449.3,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,15.78,413.8,Zaid,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Laterite Soil,11.57,1030.2,Zaid,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,14.87,1074.6,Zaid,Foundation Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,4.62,934.5,Zaid,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Black Soil,18.55,503.7,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Black Soil,21.64,443.1,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,5.81,916.6,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Black Soil,2.85,1305.8,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,1.08,1422.8,Rabi,Hybrid Seeds,Manual,Tank Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,16.23,203.6,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,15.37,274.5,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Alluvial Soil,13.89,1419.9,Kharif,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,6.18,1118.0,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,10.08,1330.3,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,15.06,343.8,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,12.67,902.0,Zaid,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,24.7,1066.7,Rabi,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Black Soil,3.84,1036.2,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Red and Yellow Soil,17.53,641.8,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,10.41,72.3,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Low
Alluvial Soil,10.99,895.2,Rabi,Open-Pollinated Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,18.08,417.0,Zaid,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,17.46,702.9,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,24.79,1438.5,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,3.65,628.6,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Laterite Soil,3.05,1267.7,Zaid,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,18.25,323.4,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,High
Laterite Soil,14.67,1025.1,Rabi,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Black Soil,7.22,1466.7,Kharif,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,High
Black Soil,2.45,197.7,Kharif,Breeder Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,2.6,62.1,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,22.41,678.7,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,5.2,184.3,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,8.42,1135.2,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Black Soil,6.05,1376.1,Zaid,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Black Soil,9.2,679.3,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,Low
Saline and Alkaline Soil,2.2,425.1,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,13.22,679.9,Rabi,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,2.16,1099.0,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Laterite Soil,20.11,63.1,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Black Soil,6.23,904.7,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Black Soil,13.73,939.3,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,22.06,974.6,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Black Soil,16.45,400.9,Rabi,Open-Pollinated Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Alluvial Soil,13.56,1085.4,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,8.45,182.5,Zaid,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,8.66,338.9,Rabi,Breeder Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,16.9,1322.3,Kharif,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Black Soil,24.86,1121.1,Rabi,Breeder Seeds,Machine,Well Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,16.72,69.9,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Laterite Soil,14.17,410.1,Kharif,Foundation Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,18.4,360.9,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,11.9,442.7,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Medium
Laterite Soil,1.97,409.0,Rabi,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,14.28,140.7,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,23.96,715.5,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,4.79,1112.5,Zaid,Open-Pollinated Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,17.41,929.8,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,5.42,1025.7,Zaid,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,13.63,167.7,Zaid,Hybrid Seeds,Machine,Tank Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,2.87,1429.7,Rabi,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,11.53,1265.8,Kharif,Hybrid Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,19.03,1217.4,Zaid,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Laterite Soil,9.02,1243.3,Rabi,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Medium
