Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
No,47.78,Manipur,Bioinputs,Yes,229506.11,32499.68,Yes,No,PM Krishi Sinchayee Yojana
No,43.11,Goa,Organic,Yes,208681.12,179006.77,Yes,No,PM Krishi Sinchayee Yojana
No,40.48,Mizoram,Bioinputs,No,492203.84,137204.84,Yes,No,Kisan Credit Card Subsidy
Yes,32.76,Kerala,Chemical,No,153201.99,49980.34,Yes,No,NFSM
No,27.54,Sikkim,Organic,Yes,154460.45,13120.15,Yes,No,Kisan Credit Card Subsidy
Yes,4.35,Punjab,Chemical,No,183728.62,138123.06,No,Yes,Fertilizer Subsidy Scheme
No,20.42,Telangana,Bioinputs,No,286651.1,114481.55,Yes,No,Kisan Credit Card Subsidy
Yes,18.63,Delhi,Bioinputs,Yes,133638.14,80903.9,Yes,No,Soil Health Card Scheme
No,12.99,Karnataka,Chemical,Yes,458492.07,72722.29,Yes,Yes,Kisan Credit Card Subsidy
No,36.17,Tripura,Organic,No,140185.93,43362.86,Yes,Yes,NFSM
No,24.79,Bihar,Organic,No,448949.71,133922.25,Yes,Yes,PM Krishi Sinchayee Yojana
No,4.05,Uttar Pradesh,Bioinputs,No,60702.78,194133.61,Yes,No,NFSM
Yes,11.01,West Bengal,Chemical,Yes,331715.72,35143.05,Yes,Yes,NFSM
No,34.16,Uttar Pradesh,Chemical,Yes,454422.9,119423.32,Yes,Yes,Kisan Credit Card Subsidy
Yes,3.81,Goa,Organic,Yes,92687.22,84837.01,No,No,Soil Health Card Scheme
Yes,42.56,Andhra Pradesh,Organic,Yes,484480.21,89337.74,No,No,PM Krishi Sinchayee Yojana
Yes,24.76,Punjab,Organic,Yes,231912.85,50829.46,No,No,PM Krishi Sinchayee Yojana
Yes,24.03,Tamil Nadu,Chemical,No,473400.4,165026.98,Yes,No,Kisan Credit Card Subsidy
No,29.62,West Bengal,Organic,No,341641.82,97051.12,Yes,Yes,NFSM
Yes,41.23,Meghalaya,Organic,No,157777.57,108681.17,Yes,No,NFSM
Yes,17.39,Manipur,Bioinputs,Yes,102268.24,60952.18,No,Yes,Soil Health Card Scheme
Yes,33.9,Mizoram,Organic,Yes,158830.17,36361.69,Yes,No,NFSM
No,28.29,Haryana,Organic,Yes,55578.53,17182.08,Yes,Yes,NFSM
No,13.35,West Bengal,Chemical,No,80495.3,142823.83,Yes,No,NFSM
No,43.93,Uttar Pradesh,Chemical,Yes,61283.62,39246.86,No,No,PM Krishi Sinchayee Yojana
No,39.87,Kerala,Bioinputs,Yes,217242.34,138015.07,No,No,PM Krishi Sinchayee Yojana
Yes,32.92,Uttarakhand,Organic,No,399833.4,78075.29,Yes,Yes,NFSM
Yes,42.53,Sikkim,Bioinputs,Yes,79277.94,83154.96,No,Yes,Soil Health Card Scheme
No,43.36,Rajasthan,Chemical,No,73857.01,93835.5,Yes,Yes,NFSM
Yes,35.42,Jharkhand,Bioinputs,Yes,325280.19,73541.7,Yes,No,NFSM
Yes,41.85,Uttarakhand,Chemical,Yes,106619.66,20124.0,No,Yes,Soil Health Card Scheme
Yes,34.87,Manipur,Bioinputs,No,57828.92,61926.36,No,No,Soil Health Card Scheme
No,34.01,Puducherry,Bioinputs,No,91755.8,132746.87,No,No,NFSM
No,30.93,Himachal Pradesh,Organic,No,462628.38,133156.88,No,No,PM Krishi Sinchayee Yojana
Yes,37.64,Arunachal Pradesh,Bioinputs,No,412520.91,57244.86,Yes,Yes,Kisan Credit Card Subsidy
No,7.93,Chhattisgarh,Organic,No,183491.64,92020.53,Yes,No,NFSM
No,44.04,Goa,Organic,No,331352.18,38689.45,No,Yes,PM Krishi Sinchayee Yojana
No,43.59,Gujarat,Organic,Yes,273265.08,42074.42,No,No,PM Krishi Sinchayee Yojana
No,1.46,Rajasthan,Organic,Yes,341790.89,4609.42,Yes,No,Kisan Credit Card Subsidy
No,41.29,Tripura,Bioinputs,No,344508.86,179349.31,Yes,No,Kisan Credit Card Subsidy
Yes,6.44,Andhra Pradesh,Chemical,Yes,318079.67,42141.33,Yes,Yes,Kisan Credit Card Subsidy
No,16.76,Tamil Nadu,Chemical,No,140389.67,45506.78,Yes,Yes,NFSM
Yes,37.18,Uttar Pradesh,Chemical,Yes,29113.15,55920.29,No,No,NFSM
Yes,8.04,Gujarat,Bioinputs,No,233227.72,25481.61,No,Yes,PM Krishi Sinchayee Yojana
No,40.9,Punjab,Organic,Yes,446577.2,127852.58,No,Yes,Kisan Credit Card Subsidy
Yes,41.61,Tripura,Chemical,Yes,289053.66,15028.59,Yes,No,Kisan Credit Card Subsidy
Yes,25.37,Puducherry,Bioinputs,Yes,417871.61,26840.49,Yes,No,PM Krishi Sinchayee Yojana
Yes,0.32,Kerala,Organic,Yes,495895.93,128951.35,No,Yes,Soil Health Card Scheme
No,14.35,Meghalaya,Chemical,Yes,90171.94,67932.12,No,No,PM Krishi Sinchayee Yojana
No,30.85,Meghalaya,Organic,No,348971.04,141589.57,No,No,PM Krishi Sinchayee Yojana
Yes,49.06,Karnataka,Chemical,No,340403.85,111484.95,Yes,Yes,NFSM
No,31.59,Rajasthan,Chemical,No,490178.17,51204.23,No,Yes,PM Krishi Sinchayee Yojana
No,12.99,Bihar,Chemical,Yes,492944.36,130165.59,Yes,No,Kisan Credit Card Subsidy
No,31.7,Madhya Pradesh,Organic,No,346472.52,23254.74,No,Yes,PM Krishi Sinchayee Yojana
No,27.0,Gujarat,Bioinputs,Yes,129371.25,107282.08,No,Yes,NFSM
Yes,38.99,Bihar,Organic,Yes,401292.36,87429.62,No,No,PM Krishi Sinchayee Yojana
Yes,5.35,Manipur,Chemical,Yes,62444.28,53574.72,Yes,No,Soil Health Card Scheme
No,38.05,Odisha,Organic,No,392542.66,120801.0,Yes,No,PM Krishi Sinchayee Yojana
No,27.06,Himachal Pradesh,Bioinputs,Yes,455996.1,174266.72,Yes,No,PM Krishi Sinchayee Yojana
Yes,48.15,Karnataka,Organic,No,197588.36,199780.94,Yes,Yes,Soil Health Card Scheme
Yes,17.09,Haryana,Bioinputs,No,319011.29,121552.55,Yes,Yes,NFSM
No,31.63,Andhra Pradesh,Bioinputs,Yes,220769.94,80941.17,Yes,No,PM Krishi Sinchayee Yojana
Yes,46.6,Tamil Nadu,Organic,Yes,224504.88,45041.42,No,No,PM Krishi Sinchayee Yojana
No,5.13,Tripura,Chemical,No,162081.74,51419.22,Yes,No,Kisan Credit Card Subsidy
No,46.86,Telangana,Bioinputs,No,383443.51,95891.0,No,No,PM Krishi Sinchayee Yojana
Yes,34.39,Haryana,Organic,No,468726.52,73455.54,Yes,Yes,NFSM
Yes,3.39,Madhya Pradesh,Bioinputs,No,470967.92,182762.9,No,Yes,Soil Health Card Scheme
No,15.05,Sikkim,Chemical,No,95642.83,73659.09,No,No,Kisan Credit Card Subsidy
No,35.41,Uttarakhand,Organic,No,438624.39,74688.92,Yes,No,PM Krishi Sinchayee Yojana
Yes,3.37,Bihar,Organic,Yes,371341.41,76706.9,No,Yes,NFSM
No,29.11,Haryana,Organic,No,133890.33,167324.04,Yes,Yes,RKVY
Yes,17.29,Assam,Chemical,No,42969.46,130157.66,Yes,Yes,RKVY
No,31.05,Delhi,Bioinputs,No,141318.66,122833.77,Yes,Yes,NFSM
Yes,2.29,Himachal Pradesh,Organic,No,456982.04,66828.6,Yes,No,NFSM
Yes,43.58,Delhi,Bioinputs,Yes,320257.55,163580.84,No,Yes,Kisan Credit Card Subsidy
Yes,48.67,Arunachal Pradesh,Bioinputs,Yes,363316.78,7672.77,Yes,Yes,NFSM
No,48.44,Arunachal Pradesh,Chemical,No,136004.65,174159.43,No,Yes,NFSM
No,37.48,West Bengal,Organic,No,362500.2,102549.98,No,No,PM Krishi Sinchayee Yojana
Yes,6.5,Madhya Pradesh,Bioinputs,No,23779.54,79650.05,No,No,Kisan Credit Card Subsidy
No,37.91,Manipur,Organic,Yes,193907.46,99433.46,Yes,Yes,Soil Health Card Scheme
Yes,1.23,West Bengal,Organic,Yes,317109.14,133483.11,No,Yes,Soil Health Card Scheme
Yes,1.11,Tamil Nadu,Chemical,Yes,81587.32,2553.09,Yes,No,Soil Health Card Scheme
No,16.18,Kerala,Organic,Yes,413271.75,174310.37,No,No,PM Krishi Sinchayee Yojana
No,24.43,Uttar Pradesh,Organic,Yes,125165.34,89347.91,Yes,Yes,NFSM
Yes,38.52,Bihar,Bioinputs,Yes,329617.75,68593.3,Yes,No,NFSM
No,34.16,Uttar Pradesh,Chemical,No,208546.6,27649.11,Yes,Yes,Kisan Credit Card Subsidy
No,22.3,Haryana,Organic,Yes,302061.36,87893.07,Yes,No,PM Krishi Sinchayee Yojana
Yes,13.68,Himachal Pradesh,Bioinputs,Yes,62650.77,99264.55,No,Yes,Soil Health Card Scheme
Yes,49.86,Tamil Nadu,Chemical,No,18287.27,80729.34,No,Yes,Soil Health Card Scheme
No,21.31,Chhattisgarh,Chemical,Yes,455686.57,135732.02,Yes,No,PM Krishi Sinchayee Yojana
Yes,22.57,Telangana,Bioinputs,No,142118.7,84179.31,No,Yes,Soil Health Card Scheme
Yes,8.18,Punjab,Bioinputs,Yes,411641.73,192283.52,Yes,No,NFSM
No,39.74,Nagaland,Bioinputs,No,499681.65,119855.5,Yes,No,Kisan Credit Card Subsidy
Yes,34.68,Karnataka,Bioinputs,No,113601.32,161495.59,No,No,Soil Health Card Scheme
Yes,11.04,Manipur,Bioinputs,No,139933.66,21871.18,Yes,Yes,Soil Health Card Scheme
No,4.12,West Bengal,Organic,No,334801.3,79458.26,Yes,Yes,Soil Health Card Scheme
No,34.02,Sikkim,Organic,No,483069.83,67369.54,Yes,Yes,Kisan Credit Card Subsidy
Yes,32.73,Himachal Pradesh,Chemical,Yes,458749.03,113896.48,Yes,No,Kisan Credit Card Subsidy
Yes,13.66,Mizoram,Organic,Yes,256409.0,172222.7,Yes,Yes,NFSM
No,47.54,Uttarakhand,Organic,No,399604.04,15667.64,No,Yes,PM Krishi Sinchayee Yojana
No,7.55,Uttar Pradesh,Organic,No,76515.47,14514.96,No,Yes,NFSM
No,21.62,Kerala,Bioinputs,No,488944.71,170063.54,No,Yes,Kisan Credit Card Subsidy
No,47.18,Gujarat,Chemical,Yes,482533.08,42570.02,Yes,No,Kisan Credit Card Subsidy
Yes,20.99,Jharkhand,Chemical,No,90227.19,133750.65,Yes,Yes,RKVY
No,31.93,Tripura,Chemical,No,156717.33,108575.63,Yes,No,Kisan Credit Card Subsidy
No,19.88,Uttar Pradesh,Chemical,No,59075.95,166578.72,Yes,No,Kisan Credit Card Subsidy
Yes,13.71,Tripura,Organic,No,143141.62,25017.78,Yes,No,NFSM
No,49.2,Jharkhand,Organic,Yes,409818.34,25956.59,Yes,No,PM Krishi Sinchayee Yojana
Yes,20.47,Uttarakhand,Bioinputs,No,195374.65,111363.67,No,Yes,Soil Health Card Scheme
No,44.7,Madhya Pradesh,Chemical,No,53314.51,189275.73,Yes,Yes,Soil Health Card Scheme
No,11.5,Odisha,Organic,Yes,177690.51,82999.55,No,Yes,NFSM
No,10.66,Karnataka,Organic,No,490877.83,65388.42,Yes,No,PM Krishi Sinchayee Yojana
Yes,1.56,Madhya Pradesh,Bioinputs,No,318544.96,121337.86,No,Yes,Kisan Credit Card Subsidy
Yes,32.58,Rajasthan,Bioinputs,Yes,213918.86,186089.72,Yes,No,Kisan Credit Card Subsidy
No,18.43,Haryana,Bioinputs,Yes,91603.87,167385.57,No,Yes,NFSM
Yes,43.22,Haryana,Organic,Yes,493226.63,199096.72,No,Yes,NFSM
Yes,23.66,Bihar,Organic,No,412216.01,4513.72,Yes,Yes,Kisan Credit Card Subsidy
Yes,48.41,Manipur,Bioinputs,No,147923.88,22571.63,Yes,No,NFSM
Yes,9.28,Chandigarh,Chemical,Yes,44333.66,121893.55,No,Yes,Soil Health Card Scheme
Yes,43.43,West Bengal,Bioinputs,Yes,37746.52,164115.29,Yes,No,NFSM
Yes,38.83,Karnataka,Bioinputs,Yes,68985.29,57048.87,Yes,No,Soil Health Card Scheme
No,38.55,Karnataka,Bioinputs,No,294576.61,47842.22,Yes,No,PM Krishi Sinchayee Yojana
No,42.24,Andhra Pradesh,Bioinputs,No,465094.08,157395.16,No,Yes,Kisan Credit Card Subsidy
Yes,38.05,Mizoram,Organic,Yes,253404.28,11276.37,Yes,Yes,PM Krishi Sinchayee Yojana
No,31.31,Manipur,Chemical,No,423043.29,73876.53,No,No,PM Krishi Sinchayee Yojana
No,6.56,Punjab,Bioinputs,Yes,228484.44,101161.84,No,No,PM Krishi Sinchayee Yojana
No,1.63,Goa,Chemical,No,357205.94,112069.73,Yes,No,Kisan Credit Card Subsidy
No,46.04,Telangana,Chemical,No,368617.64,145723.03,No,No,PM Krishi Sinchayee Yojana
Yes,30.83,Sikkim,Chemical,No,95242.22,70969.14,Yes,No,NFSM
No,39.83,West Bengal,Bioinputs,No,186995.87,122536.87,Yes,Yes,Soil Health Card Scheme
No,24.08,Tripura,Organic,Yes,322278.06,117075.08,No,Yes,Kisan Credit Card Subsidy
Yes,5.87,Manipur,Bioinputs,No,44641.34,109523.22,No,Yes,Soil Health Card Scheme
Yes,6.26,Chandigarh,Chemical,No,187154.69,128096.66,No,No,NFSM
No,34.28,Himachal Pradesh,Chemical,Yes,272051.74,51889.83,No,No,PM Krishi Sinchayee Yojana
No,21.52,Maharashtra,Organic,No,498150.0,16929.75,No,Yes,PM Krishi Sinchayee Yojana
No,10.03,Nagaland,Bioinputs,Yes,242521.45,23854.33,Yes,Yes,Kisan Credit Card Subsidy
No,24.58,Uttar Pradesh,Chemical,Yes,409867.81,44916.48,No,No,PM Krishi Sinchayee Yojana
No,3.21,Mizoram,Organic,No,221712.97,100039.59,Yes,No,Kisan Credit Card Subsidy
No,29.1,Nagaland,Chemical,No,400231.45,168088.55,Yes,No,PM Krishi Sinchayee Yojana
Yes,13.45,Chhattisgarh,Organic,Yes,301753.25,140258.67,No,Yes,Kisan Credit Card Subsidy
No,39.88,Punjab,Organic,Yes,444431.77,157808.12,No,No,PM Krishi Sinchayee Yojana
No,15.52,Punjab,Bioinputs,Yes,211361.85,70195.12,No,No,PM Krishi Sinchayee Yojana
Yes,22.76,Himachal Pradesh,Chemical,No,306109.17,80930.75,No,No,PM Krishi Sinchayee Yojana
Yes,0.58,Karnataka,Bioinputs,Yes,318709.15,78736.38,No,Yes,Soil Health Card Scheme
Yes,3.62,Telangana,Chemical,Yes,214517.64,38374.64,Yes,No,Kisan Credit Card Subsidy
Yes,19.62,Sikkim,Bioinputs,Yes,80712.9,12243.33,Yes,Yes,RKVY
No,24.0,Andhra Pradesh,Chemical,No,55844.11,118183.22,Yes,No,Kisan Credit Card Subsidy
No,30.0,Nagaland,Bioinputs,Yes,18169.06,197843.34,No,No,Kisan Credit Card Subsidy
No,14.58,Goa,Organic,No,438031.79,33365.94,No,Yes,PM Krishi Sinchayee Yojana
No,34.75,Uttarakhand,Chemical,No,125872.71,9336.96,Yes,No,Kisan Credit Card Subsidy
No,43.01,Arunachal Pradesh,Chemical,Yes,113638.31,155906.34,No,Yes,Kisan Credit Card Subsidy
No,38.99,Manipur,Organic,No,370657.35,50517.2,No,No,PM Krishi Sinchayee Yojana
Yes,1.98,Delhi,Bioinputs,Yes,166807.9,165928.76,No,Yes,RKVY
No,24.03,Uttar Pradesh,Chemical,No,257961.9,140787.33,Yes,No,PM Krishi Sinchayee Yojana
Yes,5.25,Rajasthan,Chemical,No,89630.42,189134.71,No,Yes,Soil Health Card Scheme
Yes,12.1,Maharashtra,Bioinputs,Yes,480275.4,81785.45,Yes,Yes,NFSM
No,49.33,Chhattisgarh,Organic,Yes,427274.89,132393.97,No,No,PM Krishi Sinchayee Yojana
Yes,7.12,Goa,Bioinputs,Yes,433256.92,92970.96,No,Yes,PM Krishi Sinchayee Yojana
No,24.94,Goa,Bioinputs,No,209319.14,126117.74,Yes,No,PM Krishi Sinchayee Yojana
Yes,30.91,Puducherry,Bioinputs,No,383556.99,89919.78,No,Yes,Kisan Credit Card Subsidy
No,35.12,Sikkim,Chemical,Yes,80499.32,37726.45,No,No,PM Krishi Sinchayee Yojana
Yes,27.98,Puducherry,Organic,Yes,14223.31,101579.48,No,No,Kisan Credit Card Subsidy
No,0.49,Nagaland,Organic,No,19786.74,105716.84,Yes,No,NFSM
No,16.32,Maharashtra,Bioinputs,No,297434.85,162120.77,No,No,PM Krishi Sinchayee Yojana
No,25.89,Jharkhand,Chemical,No,233143.5,147104.14,No,Yes,Kisan Credit Card Subsidy
No,4.39,Maharashtra,Bioinputs,Yes,263827.52,132758.32,No,No,Kisan Credit Card Subsidy
No,17.53,Madhya Pradesh,Chemical,No,13656.94,22677.42,No,No,PM Krishi Sinchayee Yojana
Yes,1.66,Chandigarh,Chemical,Yes,217116.44,144123.26,No,No,Kisan Credit Card Subsidy
Yes,3.93,Puducherry,Chemical,No,361853.4,100061.03,Yes,No,Soil Health Card Scheme
Yes,19.85,Assam,Chemical,No,226919.91,178819.91,Yes,No,Kisan Credit Card Subsidy
No,6.64,Puducherry,Organic,Yes,368787.41,183974.19,No,Yes,Kisan Credit Card Subsidy
Yes,28.38,Goa,Chemical,Yes,124179.29,11031.32,No,No,Kisan Credit Card Subsidy
No,34.47,Delhi,Chemical,Yes,408439.58,164128.31,Yes,Yes,PM Krishi Sinchayee Yojana
No,40.03,Haryana,Bioinputs,No,298331.31,7539.48,No,Yes,Kisan Credit Card Subsidy
Yes,10.01,Kerala,Bioinputs,No,113273.92,73433.93,No,No,Kisan Credit Card Subsidy
Yes,8.37,Madhya Pradesh,Organic,No,125993.03,108460.0,No,No,NFSM
No,5.23,Karnataka,Bioinputs,Yes,317734.93,29620.16,No,Yes,PM Krishi Sinchayee Yojana
Yes,31.82,Kerala,Chemical,No,416670.4,149262.76,No,Yes,NFSM
No,35.32,Andhra Pradesh,Bioinputs,Yes,213657.61,1670.94,No,Yes,PM Krishi Sinchayee Yojana
No,1.58,Mizoram,Organic,Yes,136567.21,33719.81,No,No,NFSM
No,46.81,Meghalaya,Bioinputs,Yes,434835.69,116159.37,No,Yes,PM Krishi Sinchayee Yojana
No,2.6,Karnataka,Bioinputs,No,337941.46,142877.51,Yes,Yes,NFSM
No,27.06,Madhya Pradesh,Organic,No,229561.89,183328.62,Yes,No,PM Krishi Sinchayee Yojana
Yes,35.45,Nagaland,Organic,Yes,249071.1,141099.33,No,Yes,Kisan Credit Card Subsidy
Yes,43.55,Karnataka,Chemical,No,110085.67,134355.85,No,No,NFSM
No,35.7,Chandigarh,Bioinputs,Yes,317133.29,78868.23,No,Yes,Kisan Credit Card Subsidy
No,40.09,West Bengal,Chemical,Yes,185783.83,256.89,No,No,Kisan Credit Card Subsidy
Yes,16.97,Kerala,Bioinputs,No,497866.14,24031.85,Yes,Yes,NFSM
Yes,40.74,Goa,Bioinputs,Yes,245289.92,106910.91,Yes,No,PM Krishi Sinchayee Yojana
No,4.01,Himachal Pradesh,Chemical,Yes,248083.95,135025.98,Yes,No,NFSM
Yes,44.74,Meghalaya,Bioinputs,No,287267.38,83489.66,Yes,Yes,NFSM
No,27.38,Bihar,Bioinputs,Yes,459210.44,146135.8,No,No,PM Krishi Sinchayee Yojana
Yes,40.86,Assam,Bioinputs,Yes,402400.87,104372.46,No,Yes,Kisan Credit Card Subsidy
No,22.62,West Bengal,Organic,Yes,231053.73,14835.24,No,No,PM Krishi Sinchayee Yojana
Yes,32.18,Meghalaya,Chemical,Yes,362162.64,38403.25,Yes,No,PM Krishi Sinchayee Yojana
No,26.32,Telangana,Organic,Yes,297255.39,167999.64,No,No,PM Krishi Sinchayee Yojana
Yes,36.58,Uttarakhand,Chemical,Yes,251259.85,144982.55,No,No,Kisan Credit Card Subsidy
Yes,4.08,Uttar Pradesh,Chemical,Yes,104234.73,178952.4,Yes,No,Soil Health Card Scheme
No,3.02,Puducherry,Bioinputs,No,237328.77,23511.45,Yes,No,PM Krishi Sinchayee Yojana
Yes,12.36,Tripura,Chemical,No,130451.11,198044.51,Yes,No,Soil Health Card Scheme
No,7.98,Kerala,Organic,Yes,458272.65,41881.34,Yes,Yes,Kisan Credit Card Subsidy
Yes,43.59,Karnataka,Organic,Yes,174349.34,2355.98,Yes,Yes,Soil Health Card Scheme
No,10.96,Chhattisgarh,Organic,No,476609.37,199484.59,No,No,PM Krishi Sinchayee Yojana
Yes,48.79,Tripura,Chemical,No,271197.09,56214.78,No,No,Kisan Credit Card Subsidy
No,16.84,Nagaland,Organic,No,319456.75,133603.89,Yes,No,Kisan Credit Card Subsidy
Yes,9.11,Odisha,Chemical,No,276040.82,35336.46,No,Yes,Kisan Credit Card Subsidy
No,39.48,Tamil Nadu,Organic,No,73396.5,116045.71,No,No,Kisan Credit Card Subsidy
Yes,32.94,Tamil Nadu,Organic,Yes,194152.4,180807.0,No,Yes,Soil Health Card Scheme
No,24.91,Goa,Chemical,No,58581.6,64036.23,No,No,Kisan Credit Card Subsidy
No,27.77,Sikkim,Organic,No,315247.48,134050.8,Yes,No,PM Krishi Sinchayee Yojana
No,35.96,Nagaland,Bioinputs,No,228968.36,37580.72,No,No,PM Krishi Sinchayee Yojana
Yes,11.42,Uttar Pradesh,Chemical,Yes,391212.64,124959.08,No,No,Kisan Credit Card Subsidy
No,49.82,Goa,Chemical,Yes,118030.54,67290.07,No,No,Kisan Credit Card Subsidy
Yes,48.74,Bihar,Chemical,Yes,90637.37,42241.65,Yes,Yes,NFSM
No,32.52,Kerala,Bioinputs,Yes,209102.79,62636.41,No,No,PM Krishi Sinchayee Yojana
Yes,9.98,Odisha,Chemical,Yes,464026.84,35768.21,Yes,Yes,NFSM
No,34.01,Delhi,Organic,Yes,358106.69,180383.22,Yes,Yes,Kisan Credit Card Subsidy
Yes,3.61,Uttarakhand,Organic,No,215272.58,79437.38,Yes,No,NFSM
Yes,1.53,Delhi,Organic,Yes,263463.36,49055.86,Yes,No,Kisan Credit Card Subsidy
No,12.88,Arunachal Pradesh,Chemical,Yes,51264.38,89681.57,No,No,Kisan Credit Card Subsidy
Yes,23.13,Mizoram,Organic,No,492442.19,64107.23,Yes,Yes,Kisan Credit Card Subsidy
Yes,43.41,Karnataka,Chemical,Yes,336539.58,148883.85,Yes,Yes,Kisan Credit Card Subsidy
No,36.36,Karnataka,Organic,No,149847.99,194243.98,Yes,Yes,Soil Health Card Scheme
Yes,37.14,Rajasthan,Bioinputs,No,297046.11,87606.73,Yes,No,Kisan Credit Card Subsidy
Yes,21.27,Meghalaya,Bioinputs,Yes,63646.36,172206.68,Yes,Yes,Soil Health Card Scheme
Yes,17.3,Arunachal Pradesh,Bioinputs,No,483259.97,113172.61,No,Yes,Kisan Credit Card Subsidy
No,18.55,Arunachal Pradesh,Bioinputs,No,95644.64,31447.13,Yes,Yes,Soil Health Card Scheme
Yes,49.38,Tamil Nadu,Chemical,No,327534.86,138124.55,No,No,PM Krishi Sinchayee Yojana
No,2.01,Haryana,Organic,No,130272.69,102686.9,No,Yes,Soil Health Card Scheme
Yes,43.35,Madhya Pradesh,Bioinputs,Yes,361605.08,130121.3,Yes,Yes,NFSM
Yes,28.93,Jharkhand,Chemical,No,390642.47,177937.48,No,No,PM Krishi Sinchayee Yojana
Yes,21.93,Haryana,Bioinputs,Yes,339975.67,88086.91,No,No,Kisan Credit Card Subsidy
No,36.26,Puducherry,Bioinputs,No,311104.74,180235.52,No,No,PM Krishi Sinchayee Yojana
Yes,24.33,Bihar,Chemical,No,447309.86,150133.8,Yes,Yes,NFSM
Yes,43.67,Manipur,Chemical,No,48527.09,97720.99,Yes,Yes,RKVY
No,45.04,Puducherry,Organic,Yes,172148.24,120644.43,Yes,Yes,RKVY
Yes,21.09,Andhra Pradesh,Organic,Yes,131660.87,65116.23,Yes,No,Soil Health Card Scheme
No,13.84,Karnataka,Bioinputs,Yes,494126.84,196719.46,Yes,Yes,Kisan Credit Card Subsidy
No,29.62,Gujarat,Bioinputs,No,200800.99,133470.23,Yes,No,PM Krishi Sinchayee Yojana
Yes,45.62,Mizoram,Organic,No,368980.22,8769.37,Yes,No,Kisan Credit Card Subsidy
No,10.53,Uttarakhand,Organic,No,345515.33,65324.38,No,Yes,Kisan Credit Card Subsidy
Yes,31.15,Punjab,Chemical,No,113919.81,124662.89,No,Yes,NFSM
No,31.58,Telangana,Organic,Yes,127108.86,11266.66,Yes,Yes,NFSM
No,36.66,Nagaland,Organic,No,147829.44,4776.84,No,No,Kisan Credit Card Subsidy
Yes,6.58,Sikkim,Bioinputs,Yes,211452.37,90004.85,Yes,No,NFSM
No,35.79,Delhi,Organic,No,124819.28,66538.04,Yes,Yes,NFSM
No,45.45,Sikkim,Bioinputs,Yes,19629.23,87659.72,Yes,No,Kisan Credit Card Subsidy
No,8.98,Kerala,Organic,Yes,440902.6,52538.66,No,Yes,PM Krishi Sinchayee Yojana
No,11.88,Himachal Pradesh,Chemical,No,483148.82,32943.55,Yes,Yes,Kisan Credit Card Subsidy
No,48.57,Chhattisgarh,Organic,No,177369.49,137828.67,Yes,Yes,Soil Health Card Scheme
Yes,9.05,Jharkhand,Organic,Yes,175868.37,102914.22,Yes,No,NFSM
No,42.72,Bihar,Organic,No,13474.99,40030.84,Yes,No,Kisan Credit Card Subsidy
Yes,24.61,Chhattisgarh,Bioinputs,No,343322.84,63917.89,No,Yes,PM Krishi Sinchayee Yojana
No,12.36,West Bengal,Chemical,Yes,414465.55,118361.58,Yes,Yes,NFSM
Yes,43.54,West Bengal,Organic,Yes,81838.07,14445.87,No,No,Kisan Credit Card Subsidy
Yes,22.27,Jharkhand,Bioinputs,Yes,88236.51,29490.6,No,Yes,Soil Health Card Scheme
No,25.74,Chandigarh,Chemical,Yes,397140.79,14649.12,Yes,No,PM Krishi Sinchayee Yojana
No,17.96,Karnataka,Bioinputs,No,311982.47,162463.47,Yes,Yes,Kisan Credit Card Subsidy
No,29.65,Rajasthan,Bioinputs,Yes,31981.67,150481.85,No,No,Kisan Credit Card Subsidy
Yes,8.18,Telangana,Chemical,Yes,315048.03,150662.59,No,Yes,Kisan Credit Card Subsidy
No,19.55,Jharkhand,Organic,Yes,161369.68,143265.07,No,No,Kisan Credit Card Subsidy
Yes,48.47,West Bengal,Bioinputs,No,190675.33,133877.08,No,Yes,Soil Health Card Scheme
Yes,12.91,Haryana,Bioinputs,Yes,387168.39,95398.38,Yes,No,NFSM
Yes,32.84,Arunachal Pradesh,Organic,No,407358.24,128455.63,No,No,PM Krishi Sinchayee Yojana
No,16.26,Tamil Nadu,Organic,Yes,206174.75,7672.31,No,No,PM Krishi Sinchayee Yojana
No,38.67,Haryana,Chemical,Yes,474104.94,124292.88,No,No,PM Krishi Sinchayee Yojana
Yes,6.54,Meghalaya,Chemical,No,209166.73,155575.54,No,Yes,NFSM
Yes,48.49,Uttarakhand,Chemical,Yes,388199.66,100071.67,Yes,No,Kisan Credit Card Subsidy
No,22.69,Sikkim,Organic,Yes,247099.86,71502.67,Yes,No,PM Krishi Sinchayee Yojana
Yes,11.8,Chhattisgarh,Bioinputs,No,449790.84,55485.35,Yes,Yes,Soil Health Card Scheme
No,3.67,Uttarakhand,Bioinputs,Yes,454803.01,128560.41,No,No,PM Krishi Sinchayee Yojana
Yes,8.49,Tripura,Chemical,Yes,52834.24,138560.24,No,Yes,Soil Health Card Scheme
No,25.99,Delhi,Organic,Yes,468881.73,174193.52,Yes,No,PM Krishi Sinchayee Yojana
Yes,16.85,Assam,Bioinputs,Yes,414512.07,68466.82,Yes,No,NFSM
No,41.44,Kerala,Chemical,No,397742.25,153954.46,No,No,PM Krishi Sinchayee Yojana
